review_id,store_item_id,store_name,user_id,taste_match_rate,is_similar_user,satisfaction,has_text,review_text,has_photo,photo_count,receipt_verified,visit_day_type,visit_time,reported_wait_min
review_0001,macao_cookie_01,오븐스테이 성수,맛있으면우는개구리,67,FALSE,만족,TRUE,겉이 파삭 깨지고 속이 촉촉해서 식감 대비가 좋았어요. 사람 많은 것만 빼면 굿..!!,TRUE,2,TRUE,평일,점심,65
review_0002,macao_cookie_01,오븐스테이 성수,쫀득감별사,86,TRUE,불만족,TRUE,"유명한 이유는 알겠음. 사진 잘 나오고 크랙 소리도 좋음. 근데 나는 단맛이 너무 세서 반 개 먹고 물렸고, 커스터드도 좀 무겁게 느껴졌다. 웨이팅 50분까지 포함하면 만족 누르긴 어렵다ㅠ",TRUE,3,TRUE,주말,아침,70
review_0003,macao_cookie_01,오븐스테이 성수,디저트광공,69,FALSE,만족,TRUE,크랙감은 여기 진짜 확실함. 숟가락 말고 손으로 잘라도 겉이 파삭 갈라져서 재밌었음.,TRUE,2,TRUE,주말,오전,70
review_0004,macao_cookie_01,오븐스테이 성수,계란빵친구,55,FALSE,만족,TRUE,사진보다 실물이 더 예쁨✨ 반갈샷 찍기 좋고 크림 흐르는 느낌이 미쳤다.,TRUE,2,TRUE,평일,점심,70
review_0005,macao_cookie_01,오븐스테이 성수,카페인수혈중,67,FALSE,만족,TRUE,겉 코팅이 살짝 달고 안쪽 크림도 달아서 당 충전 제대로 됨. 피곤한 날 먹기 좋음.,FALSE,0,FALSE,주말,아침,55
review_0006,macao_cookie_01,오븐스테이 성수,맛있으면우는개구리,58,FALSE,만족,TRUE,친구가 왜 난리냐고 했는데 먹고 조용해짐ㅋㅋㅋ 달긴 한데 맛있게 단맛,TRUE,2,TRUE,평일,저녁,65
review_0007,macao_cookie_01,오븐스테이 성수,빵에진심,81,TRUE,만족,TRUE,한입 먹고 너무 달다 싶다가도 계속 손이 감. 약간 위험한 맛…ㅎ,TRUE,2,FALSE,평일,점심,50
review_0008,macao_cookie_01,오븐스테이 성수,당충전필수,44,FALSE,만족,TRUE,유명한 곳답게 완성도는 있음. 특히 코팅이 균일해서 식감이 일정했다.,TRUE,4,TRUE,주말,아침,60
review_0009,macao_cookie_01,오븐스테이 성수,크림많이파,69,FALSE,만족,TRUE,처음엔 너무 달아서 놀랐는데 커피랑 먹으니 딱 맞았음. 단맛 강한 거 참고하세여,TRUE,4,TRUE,주말,점심,55
review_0010,macao_cookie_01,오븐스테이 성수,커스터드러버,75,TRUE,만족,TRUE,기대가 너무 컸는데도 나름 충족됨. 단맛 강한 디저트 좋아하면 후회 없을 듯!,TRUE,2,TRUE,평일,저녁,45
review_0011,macao_cookie_01,오븐스테이 성수,웨이팅싫어,51,FALSE,불만족,TRUE,맛이 아예 없는 건 아닌데 기다린 시간이 너무 길어서 기대치가 미친 듯이 올라감… 그래서 먹자마자 ‘음 맛있네 근데 이 정도라고?’가 됨. 겉 코팅은 확실히 재밌는데 단맛이 강해서 뒤로 갈수록 좀 질렸음.,TRUE,4,TRUE,주말,점심,35
review_0012,macao_cookie_01,오븐스테이 성수,한입만요,59,FALSE,만족,TRUE,나 원래 유행템 잘 안 믿는데 이건 인정. 특히 첫입에 코팅 깨지는 식감이 기억남 ✨,FALSE,0,TRUE,주말,점심,50
review_0013,macao_cookie_01,오븐스테이 성수,먹짱고라니,62,FALSE,만족,TRUE,커피랑 같이 먹으면 밸런스 괜찮음. 그냥 먹으면 확실히 달고 묵직하다.,TRUE,1,TRUE,주말,오후,45
review_0014,macao_cookie_01,오븐스테이 성수,입짧은먹깨비,84,TRUE,만족,TRUE,마카오 에그타르트 느낌이 쿠키로 바뀐 게 생각보다 자연스러움. 아이디어 좋다. 😋,TRUE,4,TRUE,평일,오후,40
review_0015,macao_cookie_01,오븐스테이 성수,성수개미,56,FALSE,만족,FALSE,,TRUE,1,TRUE,주말,오후,65
review_0016,macao_cookie_01,오븐스테이 성수,쿠키헌터,86,TRUE,불만족,TRUE,커스터드가 많긴 한데 전체적으로 무겁고 느끼했다. 아아 없으면 힘들 듯.,TRUE,2,TRUE,주말,저녁,50
